seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	62263	62294	32	+	14	3	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-546
I	62321	62372	52	+	36	6	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-468
I	62449	62449	1	+	4	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-391
I	62776	62776	1	+	4	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-64
I	62808	62808	1	+	4	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-32
I	71711	71792	82	+	432	12	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	0
I	71924	71924	1	+	5	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	138
I	72043	72043	1	+	4	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	257
I	72200	72200	1	+	4	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	414
I	72455	72503	49	+	44	8	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	669
I	72568	72568	1	+	6	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	782
I	72601	72620	20	+	10	2	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	815
I	72695	72725	31	+	23	5	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	909
I	72754	72758	5	+	10	2	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	968
I	72796	72812	17	+	9	2	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	1010
I	76368	76429	62	+	596	18	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	0
I	76464	76464	1	+	4	1	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	37
I	76644	76644	1	+	4	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	217
I	76737	76737	1	+	5	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	310
I	76768	76768	1	+	7	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	341
I	76957	76983	27	+	15	2	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	530
I	77086	77134	49	+	24	4	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	659
I	77167	77167	1	+	11	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	740
I	77199	77249	51	+	24	5	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	772
I	77360	77360	1	+	5	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	933
I	79674	79695	22	+	36	4	Promoter	1	79718	80587	870	1	YAL034W-A	YAL034W-A_mRNA	-23
I	82688	82701	14	+	28	4	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	-5
I	87250	87264	15	+	34	3	Promoter	1	87286	87752	467	1	YAL030W	YAL030W_mRNA	-22
I	92849	92859	11	+	16	2	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-41
I	94625	94646	22	+	8	2	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-41
I	114809	114809	1	+	5	1	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-110
I	119858	119891	34	+	29	4	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-334
I	119953	119960	8	+	10	2	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-265
I	124782	124801	20	+	39	5	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-78
I	129208	129263	56	+	762	25	Promoter	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	-7
I	129389	129389	1	+	6	1	Exon (YAL013W_mRNA/YAL013W, exon 1 of 1)	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	119
I	129422	129422	1	+	4	1	Exon (YAL013W_mRNA/YAL013W, exon 1 of 1)	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	152
I	130686	130750	65	+	142	12	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-49
I	131420	131420	1	+	4	1	Exon (YAL012W_mRNA/YAL012W, exon 1 of 1)	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	621
I	135829	135829	1	+	13	1	Promoter	1	135854	136633	780	1	YAL009W	YAL009W_mRNA	-25
I	136866	136874	9	+	23	3	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-40
I	142035	142035	1	+	5	1	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	-139
I	142117	142195	79	+	543	25	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	142222	142249	28	+	47	8	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	48
I	142367	142367	1	+	5	1	Promoter	1	142367	142468	102	1	snR18	snR18_snoRNA	0
I	142619	142654	36	+	19	4	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	252
I	142687	142999	313	+	361	64	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	320
I	143616	143616	1	+	7	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-91
I	152215	152228	14	+	52	2	Promoter	1	152257	153876	1620	1	YAR002W	YAR002W_mRNA	-29
I	158847	158864	18	+	36	3	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-102
I	158897	158897	1	+	5	1	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-69
I	169272	169286	15	+	45	4	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-89
I	169315	169330	16	+	44	4	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-45
I	180245	180251	7	+	10	2	Promoter	1	181141	181254	114	1	tL(CAA)A	tL(CAA)A_tRNA	-890
I	195689	195689	1	+	4	1	Exon (YAR042W_mRNA/YAR042W, exon 1 of 1)	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	3070
I	195811	195811	1	+	5	1	Exon (YAR042W_mRNA/YAR042W, exon 1 of 1)	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	3192
I	199098	199098	1	+	6	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4305
I	200628	200628	1	+	4	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-2775
I	213011	213011	1	+	4	1	Distal Intergenic	1	208367	208663	297	1	YAR053W	YAR053W_mRNA	4644
I	225159	225159	1	+	6	1	Promoter	1	225460	226863	1404	1	YAR071W	YAR071W_mRNA	-301
I	32684	32728	45	-	16	3	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4234
I	34358	34358	1	-	4	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	2560
I	52617	52617	1	-	9	1	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-22
I	52651	52661	11	-	13	2	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-66
I	54799	54799	1	-	7	1	Promoter	1	52801	54789	1989	2	YAL048C	YAL048C_mRNA	-10
I	56882	56882	1	-	5	1	Promoter	1	54989	56857	1869	2	YAL047C	YAL047C_mRNA	-25
I	58469	58476	8	-	29	3	Promoter	1	57950	58462	513	2	YAL044C	YAL044C_mRNA	-14
I	61068	61068	1	-	5	1	Promoter	1	58695	61052	2358	2	YAL043C	YAL043C_mRNA	-16
I	67833	67850	18	-	64	5	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-330
I	69553	69605	53	-	67	8	Promoter	1	68716	69525	810	2	YAL039C	YAL039C_mRNA	-80
I	76184	76199	16	-	15	3	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-47
I	81982	81997	16	-	10	2	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-46
I	84482	84509	28	-	15	3	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-35
I	87060	87078	19	-	19	2	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	-47
I	91387	91387	1	-	4	1	Exon (YAL029C_mRNA/YAL029C, exon 1 of 1)	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	883
I	99783	99783	1	-	13	1	Promoter	1	95630	99697	4068	2	YAL026C	YAL026C_mRNA	-86
I	100704	100704	1	-	4	1	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	441
I	100912	100918	7	-	15	3	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	233
I	100993	100993	1	-	4	1	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	152
I	101049	101049	1	-	4	1	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	96
I	101130	101196	67	-	347	14	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	0
I	108638	108639	2	-	12	2	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-88
I	108666	108668	3	-	13	2	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-117
I	110436	110446	11	-	10	2	Promoter	1	108877	110430	1554	2	YAL022C	YAL022C_mRNA	-16
I	113400	113400	1	-	6	1	Promoter	1	110846	113359	2514	2	YAL021C	YAL021C_mRNA	-41
I	114571	114621	51	-	38	4	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	0
I	129050	129067	18	-	14	2	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-48
I	135702	135702	1	-	4	1	Promoter	1	134184	135665	1482	2	YAL010C	YAL010C_mRNA	-37
I	138394	138453	60	-	66	7	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-108
I	140030	140030	1	-	4	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1401
I	140090	140090	1	-	4	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1341
I	140120	140133	14	-	8	2	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1311
I	140268	140268	1	-	4	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1163
I	140783	140783	1	-	4	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	648
I	140834	140841	8	-	8	2	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	597
I	140883	140897	15	-	11	2	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	548
I	140924	140948	25	-	10	2	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	507
I	140977	141027	51	-	95	13	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	454
I	141095	141128	34	-	65	8	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	336
I	141186	141371	186	-	157	30	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	245
I	141401	141522	122	-	419	20	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	141661	141672	12	-	11	2	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-241
I	151189	151203	15	-	16	2	Promoter	1	147594	151166	3573	2	YAL001C	YAL001C_mRNA	-37
I	154541	154541	1	-	4	1	Exon (YAR002C-A_mRNA/YAR002C-A, exon 1 of 1)	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	183
I	154731	154767	37	-	41	6	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-43
I	154796	154796	1	-	5	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-72
I	158678	158678	1	-	4	1	Promoter	1	156754	158619	1866	2	YAR007C	YAR007C_mRNA	-59
I	165849	165849	1	-	5	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	17
I	165919	165919	1	-	15	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	-53
I	168976	168976	1	-	4	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-105
I	169019	169061	43	-	105	6	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-190
I	188621	188661	41	-	29	4	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1808
I	198982	199014	33	-	20	3	Distal Intergenic	1	201467	201787	321	2	YAR047C	YAR047C_mRNA	2805
I	222877	222877	1	-	4	1	Distal Intergenic	1	224011	224304	294	2	YAR069C	YAR069C_mRNA	1427
I	222916	222916	1	-	4	1	Distal Intergenic	1	224011	224304	294	2	YAR069C	YAR069C_mRNA	1388
II	9332	9332	1	+	5	1	Promoter	2	9268	9372	105	1	YBL107W-A	YBL107W-A_mRNA	64
II	23980	23980	1	+	8	1	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-118
II	24010	24036	27	+	19	3	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-62
II	29884	29884	1	+	14	1	Promoter	2	29935	31251	1317	1	YBL100W-A	YBL100W-A	-51
II	31487	31487	1	+	6	1	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1552
II	31872	31921	50	+	20	4	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1937
II	36702	36766	65	+	81	8	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-287
II	39115	39115	1	+	5	1	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-30
II	40768	40768	1	+	11	1	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-63
II	43261	43261	1	+	4	1	Promoter	2	43277	44089	813	1	YBL095W	YBL095W_mRNA	-16
II	45515	45651	137	+	472	28	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-327
II	45978	45978	1	+	36	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	0
II	46583	46583	1	+	7	1	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	605
II	48753	48753	1	+	5	1	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-72
II	48794	48816	23	+	26	2	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-9
II	63685	63694	10	+	16	2	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-182
II	63736	63763	28	+	65	4	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-113
II	71552	71566	15	+	43	3	Promoter	2	71866	72972	1107	1	YBL081W	YBL081W_mRNA	-300
II	75186	75210	25	+	22	4	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-49
II	89926	89943	18	+	42	4	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-35
II	90685	90694	10	+	30	3	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-47
II	92345	92365	21	+	18	3	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-49
II	101869	101869	1	+	5	1	Promoter	2	101886	105221	3336	1	YBL063W	YBL063W_mRNA	-17
II	107895	107895	1	+	4	1	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	-37
II	110687	110700	14	+	10	2	Promoter	2	110594	111244	651	1	YBL059W	YBL059W_mRNA	93
II	111396	111452	57	+	100	7	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	0
II	113626	113651	26	+	18	3	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-111
II	113716	113730	15	+	31	3	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-32
II	117378	117378	1	+	4	1	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-211
II	117466	117491	26	+	41	4	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	125038	125083	46	+	130	10	Promoter	2	125125	126119	995	1	YBL050W	YBL050W_mRNA	-42
II	132399	132432	34	+	31	4	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	136555	136555	1	+	4	1	Promoter	2	136688	137461	774	1	YBL043W	YBL043W_mRNA	-133
II	140991	140991	1	+	6	1	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-256
II	141191	141238	48	+	117	6	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-9
II	143091	143099	9	+	12	2	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-294
II	146113	146136	24	+	38	5	Promoter	2	146187	146885	699	1	YBL038W	YBL038W_mRNA	-51
II	147097	147129	33	+	50	4	Promoter	2	147209	150286	3078	1	YBL037W	YBL037W_mRNA	-80
II	160092	160147	56	+	101	9	Promoter	2	160184	161329	1146	1	YBL032W	YBL032W_mRNA	-37
II	161669	161677	9	+	17	2	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	-22
II	161715	161715	1	+	4	1	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	16
II	167050	167050	1	+	4	1	Exon (YBL029W_mRNA/YBL029W, exon 1 of 1)	2	166134	167264	1131	1	YBL029W	YBL029W_mRNA	916
II	167148	167148	1	+	4	1	Exon (YBL029W_mRNA/YBL029W, exon 1 of 1)	2	166134	167264	1131	1	YBL029W	YBL029W_mRNA	1014
II	168384	168415	32	+	531	8	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-8
II	168809	168809	1	+	9	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	386
II	168852	168852	1	+	5	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	429
II	169014	169090	77	+	30	6	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	591
II	169121	169121	1	+	6	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	698
II	169188	169190	3	+	10	2	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	765
II	170552	170578	27	+	9	2	Promoter	2	170623	171038	416	1	YBL026W	YBL026W_mRNA	-45
II	171418	171442	25	+	16	3	Promoter	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	-39
II	172472	172472	1	+	4	1	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-62
II	172504	172525	22	+	54	6	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-9
II	182319	182346	28	+	28	3	Promoter	2	182401	184125	1725	1	YBL020W	YBL020W_mRNA	-55
II	184297	184297	1	+	5	1	Promoter	2	184353	185915	1563	1	YBL019W	YBL019W_mRNA	-56
II	192363	192369	7	+	12	2	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-82
II	192423	192423	1	+	10	1	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-28
II	194019	194033	15	+	15	3	Promoter	2	194122	195702	1581	1	YBL015W	YBL015W_mRNA	-89
II	202772	202772	1	+	5	1	Exon (YBL013W_mRNA/YBL013W, exon 1 of 1)	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	716
II	203356	203356	1	+	5	1	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-182
II	203437	203471	35	+	40	5	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-67
II	205585	205585	1	+	5	1	Exon (YBL011W_mRNA/YBL011W, exon 1 of 1)	2	207194	209224	2031	1	YBL009W	YBL009W_mRNA	-1609
II	209566	209579	14	+	23	4	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	-74
II	209748	209748	1	+	9	1	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	95
II	217408	217408	1	+	6	1	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	-62
II	217543	217543	1	+	7	1	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	73
II	221311	221314	4	+	13	2	Promoter	2	221330	222652	1323	1	YBL005W-A	YBL005W-A	-16
II	222036	222036	1	+	4	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	706
II	224537	224537	1	+	4	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	227075	227156	82	1	tS(AGA)B	tS(AGA)B_tRNA	-2538
II	225256	225256	1	+	5	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	227075	227156	82	1	tS(AGA)B	tS(AGA)B_tRNA	-1819
II	227511	227546	36	+	57	8	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-90
II	227580	227580	1	+	7	1	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-56
II	236368	236386	19	+	28	3	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	-106
II	236425	236518	94	+	193	14	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	0
II	236594	236594	1	+	6	1	Exon (YBL002W_mRNA/YBL002W, exon 1 of 1)	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	102
II	236684	236684	1	+	5	1	Exon (YBL002W_mRNA/YBL002W, exon 1 of 1)	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	192
II	236723	236744	22	+	17	3	Exon (YBL002W_mRNA/YBL002W, exon 1 of 1)	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	231
II	241674	241674	1	+	6	1	Downstream (2-3kb)	2	242809	244230	1422	1	YBR003W	YBR003W_mRNA	-1135
II	242780	242803	24	+	21	3	Promoter	2	242809	244230	1422	1	YBR003W	YBR003W_mRNA	-6
II	245871	245883	13	+	16	3	Promoter	2	245906	246547	642	1	YBR005W	YBR005W_mRNA	-23
II	246970	246970	1	+	7	1	Promoter	2	247010	248503	1494	1	YBR006W	YBR006W_mRNA	-40
II	248066	248099	34	+	20	4	Exon (YBR006W_mRNA/YBR006W, exon 1 of 1)	2	247010	248503	1494	1	YBR006W	YBR006W_mRNA	1056
II	256303	256324	22	+	75	3	Promoter	2	256331	256741	411	1	YBR010W	YBR010W_mRNA	-7
II	260575	260575	1	+	13	1	Exon (YBR012W-B/YBR012W-B, exon 1 of 1)	2	259869	265140	5272	1	YBR012W-B	YBR012W-B	706
II	260613	260613	1	+	4	1	Exon (YBR012W-B/YBR012W-B, exon 1 of 1)	2	259869	265140	5272	1	YBR012W-B	YBR012W-B	744
II	270194	270244	51	+	157	12	Promoter	2	270247	270633	387	1	YBR016W	YBR016W_mRNA	-3
II	283653	283678	26	+	12	3	Promoter	2	283738	284271	534	1	YBR022W	YBR022W_mRNA	-60
II	283710	283719	10	+	11	2	Promoter	2	283738	284271	534	1	YBR022W	YBR022W_mRNA	-19
