seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	62241	62241	1	+	1	4	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-599
I	62331	62364	34	+	4	21	0.33	34	3.64	0.04	0.02	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-476
I	62773	62776	4	+	2	11	0.55	4	0.14	1.01	0.01	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-64
I	62808	62808	1	+	1	6	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-32
I	71711	71783	73	+	15	499	0.48	73	9.04	-0.62	0.33	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	-3
I	72458	72477	20	+	3	15	0.47	20	2.3	0.47	0.03	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	672
I	72521	72521	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	735
I	72550	72586	37	+	4	17	0.29	37	-4	0.01	0	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	764
I	72685	72685	1	+	1	6	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	899
I	72718	72725	8	+	3	17	0.53	8	-1.32	0.53	0.07	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	932
I	72758	72758	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	972
I	76368	76411	44	+	15	580	0.37	44	6.99	-0.9	0.26	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	-16
I	76587	76587	1	+	1	4	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	160
I	77092	77092	1	+	1	5	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	665
I	77167	77167	1	+	1	6	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	740
I	77199	77199	1	+	1	5	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	772
I	79674	79700	27	+	6	36	0.25	27	2.81	-0.51	0.03	Promoter	1	79718	80587	870	1	YAL034W-A	YAL034W-A_mRNA	-18
I	82688	82711	24	+	4	33	0.42	24	-3.41	0.21	0.1	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	0
I	82753	82753	1	+	1	4	1	1	0	2	1	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	47
I	87248	87279	32	+	5	47	0.47	32	-3.12	-0.01	0.13	Promoter	1	87286	87752	467	1	YAL030W	YAL030W_mRNA	-7
I	92849	92859	11	+	2	16	0.62	11	-1.25	1.05	0.05	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-41
I	94595	94607	13	+	2	12	0.58	13	1	1.02	0.02	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-80
I	94646	94646	1	+	1	4	1	1	0	2	1	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-41
I	113591	113591	1	+	1	4	1	1	0	2	1	Promoter	1	114250	114819	570	1	YAL019W-A	YAL019W-A_mRNA	-659
I	114809	114809	1	+	1	8	1	1	0	2	1	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-110
I	119858	119891	34	+	4	27	0.37	34	-6.35	0.09	0.05	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-334
I	119953	119963	11	+	2	8	0.5	11	0	1	0	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-262
I	124789	124803	15	+	6	55	0.29	15	1.25	-0.41	0.07	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-76
I	129200	129263	64	+	28	797	0.18	64	3.5	-2.16	0.13	Promoter	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	-7
I	129389	129392	4	+	2	8	0.5	4	0	1	0	Exon (YAL013W_mRNA/YAL013W, exon 1 of 1)	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	119
I	130686	130751	66	+	10	147	0.33	66	14.29	-0.61	0.21	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-48
I	130779	130779	1	+	1	5	1	1	0	2	1	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-20
I	135829	135829	1	+	1	12	1	1	0	2	1	Promoter	1	135854	136633	780	1	YAL009W	YAL009W_mRNA	-25
I	136866	136882	17	+	3	30	0.37	17	-3	0.43	0.01	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-32
I	142117	142195	79	+	27	564	0.21	79	-8.32	-2.07	0.14	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	142222	142246	25	+	5	32	0.28	25	2.5	-0.27	0.02	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	48
I	142367	142367	1	+	1	4	1	1	0	2	1	Promoter	1	142367	142468	102	1	snR18	snR18_snoRNA	0
I	142619	142648	30	+	4	19	0.32	30	3.45	0.02	0.01	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	252
I	142696	142972	277	+	49	261	0.04	277	0.33	-3.57	0.01	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	329
I	142997	143005	9	+	4	24	0.33	9	-1.67	0.03	0.01	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	630
I	143040	143040	1	+	1	4	1	1	0	2	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-667
I	152215	152228	14	+	2	56	0.68	14	-2.32	1.09	0.09	Promoter	1	152257	153876	1620	1	YAR002W	YAR002W_mRNA	-29
I	158847	158864	18	+	4	44	0.39	18	-1.91	0.09	0.04	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-102
I	158891	158906	16	+	3	17	0.53	16	-0.79	0.53	0.07	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-60
I	169259	169286	28	+	5	48	0.33	28	2.81	-0.17	0.06	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-89
I	169315	169330	16	+	4	30	0.5	16	0.8	0.22	0.11	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-45
I	180251	180251	1	+	1	5	1	1	0	2	1	Promoter	1	181141	181254	114	1	tL(CAA)A	tL(CAA)A_tRNA	-890
I	195689	195689	1	+	1	4	1	1	0	2	1	Exon (YAR042W_mRNA/YAR042W, exon 1 of 1)	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	3070
I	199098	199098	1	+	1	5	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4305
I	199134	199134	1	+	1	6	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4269
I	199295	199295	1	+	1	4	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4108
I	6331	6331	1	-	1	4	1	1	0	2	1	Distal Intergenic	1	7235	9016	1782	2	YAL067C	YAL067C_mRNA	2685
I	32549	32549	1	-	1	5	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4369
I	32684	32728	45	-	4	22	0.32	45	-1.91	0.03	0.02	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4234
I	32966	32966	1	-	1	4	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	3952
I	34355	34358	4	-	2	12	0.58	4	0.25	1.02	0.02	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	2563
I	52617	52622	6	-	2	11	0.55	6	-0.23	1.01	0.01	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-27
I	52651	52661	11	-	2	14	0.5	11	0	1	0	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-66
I	54790	54799	10	-	2	8	0.5	10	0	1	0	Promoter	1	52801	54789	1989	2	YAL048C	YAL048C_mRNA	-10
I	56882	56886	5	-	2	8	0.5	5	0	1	0	Promoter	1	54989	56857	1869	2	YAL047C	YAL047C_mRNA	-29
I	58469	58476	8	-	3	23	0.43	8	0.15	0.45	0.02	Promoter	1	57950	58462	513	2	YAL044C	YAL044C_mRNA	-14
I	67833	67850	18	-	5	102	0.39	18	0.57	-0.07	0.11	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-330
I	67885	67885	1	-	1	4	1	1	0	2	1	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-365
I	69564	69605	42	-	7	53	0.3	42	-0.03	-0.62	0.07	Promoter	1	68716	69525	810	2	YAL039C	YAL039C_mRNA	-80
I	76178	76189	12	-	3	20	0.5	12	1.5	0.5	0.05	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-37
I	81978	81997	20	-	2	10	0.6	20	1.9	1.03	0.03	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-46
I	84482	84507	26	-	3	19	0.42	26	1.76	0.47	0.04	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-33
I	87060	87078	19	-	2	20	0.8	19	5.4	1.28	0.28	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	-47
I	99783	99790	8	-	2	24	0.83	8	-2.33	1.35	0.35	Promoter	1	95630	99697	4068	2	YAL026C	YAL026C_mRNA	-93
I	100912	100913	2	-	2	10	0.6	2	-0.1	1.03	0.03	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	233
I	101151	101196	46	-	14	341	0.21	46	-3.88	-1.33	0.12	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	-51
I	105962	105962	1	-	1	4	1	1	0	2	1	Promoter	1	101565	105872	4308	2	YAL024C	YAL024C_mRNA	-90
I	108639	108668	30	-	5	26	0.31	30	-2.42	-0.26	0.03	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-117
I	110446	110463	18	-	2	13	0.54	18	-0.65	1	0	Promoter	1	108877	110430	1554	2	YAL022C	YAL022C_mRNA	-33
I	113400	113420	21	-	3	18	0.33	21	-1.33	0.42	0	Promoter	1	110846	113359	2514	2	YAL021C	YAL021C_mRNA	-61
I	114565	114565	1	-	1	4	1	1	0	2	1	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	50
I	114619	114621	3	-	2	20	0.6	3	-0.2	1.03	0.03	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	-6
I	129032	129076	45	-	8	77	0.34	45	3.06	-0.63	0.12	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-57
I	129614	129614	1	-	1	4	1	1	0	2	1	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-595
I	138394	138453	60	-	7	83	0.33	60	-1.72	-0.46	0.12	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-108
I	140108	140108	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1323
I	140268	140268	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	1163
I	140840	140840	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	591
I	140874	140883	10	-	2	8	0.5	10	0	1	0	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	557
I	140977	140977	1	-	1	15	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	454
I	141002	141027	26	-	6	41	0.27	26	4.99	-0.51	0.03	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	429
I	141095	141125	31	-	5	42	0.24	31	3.21	-0.31	0	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	336
I	141194	141242	49	-	7	36	0.25	49	-8.14	-0.74	0.03	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	237
I	141302	141306	5	-	2	8	0.5	5	0	1	0	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	129
I	141350	141371	22	-	3	16	0.44	22	2.62	0.45	0.02	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	81
I	141431	141522	92	-	17	417	0.41	92	12.3	-1.08	0.25	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	141661	141661	1	-	1	4	1	1	0	2	1	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	-230
I	151189	151203	15	-	3	29	0.62	15	2.79	0.68	0.17	Promoter	1	147594	151166	3573	2	YAL001C	YAL001C_mRNA	-37
I	154731	154767	37	-	5	49	0.33	37	-3.51	-0.25	0.03	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-43
I	154798	154798	1	-	1	5	1	1	0	2	1	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-74
I	158661	158661	1	-	1	5	1	1	0	2	1	Promoter	1	156754	158619	1866	2	YAR007C	YAR007C_mRNA	-42
I	165919	165919	1	-	1	20	1	1	0	2	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	-53
I	168869	168869	1	-	1	5	1	1	0	2	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	2
I	168942	168942	1	-	1	7	1	1	0	2	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-71
I	168976	168982	7	-	2	9	0.56	7	0.33	1.01	0.01	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-111
I	169012	169061	50	-	7	130	0.49	50	-7.75	-0.24	0.2	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-190
I	175135	175135	1	-	1	5	1	1	0	2	1	Promoter	1	172211	175135	2925	2	YAR019C	YAR019C_mRNA	0
I	180056	180056	1	-	1	5	1	1	0	2	1	Promoter	1	179281	179820	540	2	YAR023C	YAR023C_mRNA	-236
I	188634	188661	28	-	5	38	0.34	28	1.11	-0.16	0.07	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1808
I	198982	199014	33	-	3	18	0.39	33	2.11	0.43	0.01	Distal Intergenic	1	201467	201787	321	2	YAR047C	YAR047C_mRNA	2805
II	23980	24020	41	+	6	35	0.26	41	-1.57	-0.53	0.02	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-78
II	29884	29884	1	+	1	12	1	1	0	2	1	Promoter	2	29935	31251	1317	1	YBL100W-A	YBL100W-A	-51
II	31487	31487	1	+	1	4	1	1	0	2	1	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1552
II	31910	31921	12	+	2	9	0.56	12	0.61	1.01	0.01	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1975
II	36733	36757	25	+	5	85	0.41	25	5.68	-0.04	0.12	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-296
II	39115	39115	1	+	1	4	1	1	0	2	1	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-30
II	40768	40789	22	+	2	17	0.76	22	-5.56	1.21	0.21	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-42
II	43267	43267	1	+	1	4	1	1	0	2	1	Promoter	2	43277	44089	813	1	YBL095W	YBL095W_mRNA	-10
II	45305	45305	1	+	1	5	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-673
II	45536	45651	116	+	25	509	0.22	116	17.85	-1.9	0.16	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-327
II	45978	45993	16	+	2	49	0.9	16	-5.97	1.52	0.52	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	0
II	46575	46583	9	+	2	10	0.5	9	0	1	0	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	597
II	48753	48753	1	+	1	5	1	1	0	2	1	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-72
II	48794	48818	25	+	3	33	0.52	25	-1.03	0.57	0.1	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-7
II	63685	63694	10	+	2	22	0.55	10	0.41	1.01	0.01	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-182
II	63736	63763	28	+	4	57	0.49	28	-8.08	0.23	0.11	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-113
II	64041	64041	1	+	1	4	1	1	0	2	1	Exon (YBL085W_mRNA/YBL085W, exon 1 of 1)	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	165
II	71549	71566	18	+	4	45	0.47	18	-2.48	0.22	0.11	Promoter	2	71866	72972	1107	1	YBL081W	YBL081W_mRNA	-300
II	75210	75210	1	+	1	6	1	1	0	2	1	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-49
II	89930	89943	14	+	4	60	0.6	14	3.08	0.45	0.22	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-35
II	89968	89968	1	+	1	5	1	1	0	2	1	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-10
II	90685	90707	23	+	4	41	0.61	23	-6.95	0.43	0.21	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-34
II	92345	92372	28	+	3	20	0.55	28	-2.75	0.56	0.09	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-42
II	96370	96370	1	+	1	4	1	1	0	2	1	Distal Intergenic	2	99963	100307	345	1	YBL065W	YBL065W_mRNA	-3593
II	101869	101869	1	+	1	5	1	1	0	2	1	Promoter	2	101886	105221	3336	1	YBL063W	YBL063W_mRNA	-17
II	107884	107884	1	+	1	6	1	1	0	2	1	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	-48
II	110700	110700	1	+	1	7	1	1	0	2	1	Exon (YBL059W_mRNA/YBL059W, exon 1 of 2)	2	110594	111244	651	1	YBL059W	YBL059W_mRNA	106
II	111396	111452	57	+	9	122	0.28	57	-15.03	-0.79	0.12	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	0
II	113626	113626	1	+	1	8	1	1	0	2	1	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-136
II	113651	113651	1	+	1	13	1	1	0	2	1	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-111
II	113716	113730	15	+	3	25	0.44	15	-2.44	0.48	0.04	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-32
II	117378	117378	1	+	1	5	1	1	0	2	1	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-211
II	117423	117423	1	+	1	4	1	1	0	2	1	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-166
II	117470	117491	22	+	5	36	0.31	22	-1.83	-0.21	0.05	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	125038	125078	41	+	10	146	0.25	41	-9.64	-0.87	0.13	Promoter	2	125125	126119	995	1	YBL050W	YBL050W_mRNA	-47
II	132411	132426	16	+	2	23	0.61	16	-1.63	1.03	0.03	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	140991	140991	1	+	1	8	1	1	0	2	1	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-256
II	141033	141033	1	+	1	4	1	1	0	2	1	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	-214
II	141191	141247	57	+	8	133	0.22	57	-3.08	-0.76	0.08	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	0
II	143091	143099	9	+	2	14	0.71	9	-1.71	1.14	0.14	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-294
II	146098	146136	39	+	6	42	0.26	39	6.93	-0.49	0.04	Promoter	2	146187	146885	699	1	YBL038W	YBL038W_mRNA	-51
II	147097	147130	34	+	5	70	0.31	34	0.03	-0.12	0.09	Promoter	2	147209	150286	3078	1	YBL037W	YBL037W_mRNA	-79
II	147162	147162	1	+	1	4	1	1	0	2	1	Promoter	2	147209	150286	3078	1	YBL037W	YBL037W_mRNA	-47
II	160074	160147	74	+	9	117	0.25	74	-0.51	-0.82	0.11	Promoter	2	160184	161329	1146	1	YBL032W	YBL032W_mRNA	-37
II	161669	161677	9	+	2	14	0.64	9	1.14	1.06	0.06	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	-22
II	168364	168415	52	+	10	607	0.42	52	11.19	-0.12	0.36	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-8
II	168809	168810	2	+	2	19	0.79	2	-0.29	1.26	0.26	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	386
II	169014	169076	63	+	4	21	0.29	63	-0.62	0.02	0.01	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	591
II	170552	170581	30	+	5	28	0.39	30	-2.14	-0.18	0.06	Promoter	2	170623	171038	416	1	YBL026W	YBL026W_mRNA	-42
II	171418	171433	16	+	2	13	0.54	16	-0.58	1	0	Promoter	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	-48
II	171471	171471	1	+	1	4	1	1	0	2	1	Promoter	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	-10
II	171625	171625	1	+	1	5	1	1	0	2	1	Exon (YBL025W_mRNA/YBL025W, exon 1 of 1)	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	144
II	172472	172472	1	+	1	7	1	1	0	2	1	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-62
II	172504	172525	22	+	6	48	0.46	22	-2.58	-0.23	0.14	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-9
II	182319	182346	28	+	3	34	0.41	28	-6.09	0.45	0.02	Promoter	2	182401	184125	1725	1	YBL020W	YBL020W_mRNA	-55
II	184321	184321	1	+	1	5	1	1	0	2	1	Promoter	2	184353	185915	1563	1	YBL019W	YBL019W_mRNA	-32
II	192363	192369	7	+	2	9	0.56	7	0.33	1.01	0.01	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-82
II	192423	192423	1	+	1	6	1	1	0	2	1	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-28
II	194019	194033	15	+	2	14	0.64	15	-2	1.06	0.06	Promoter	2	194122	195702	1581	1	YBL015W	YBL015W_mRNA	-89
II	202772	202772	1	+	1	4	1	1	0	2	1	Exon (YBL013W_mRNA/YBL013W, exon 1 of 1)	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	716
II	203437	203471	35	+	6	45	0.27	35	2.38	-0.45	0.05	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-67
II	209573	209598	26	+	4	27	0.3	26	-3.57	0.01	0.01	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	-55
