seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	71828	71828	1	+	1	6	1	1	0	2	1	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	42
I	72440	72484	45	+	6	31	0.23	45	6.52	-0.55	0.01	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	654
I	72566	72586	21	+	3	17	0.53	21	-4.24	0.53	0.07	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	780
I	72704	72704	1	+	1	7	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	918
I	72758	72758	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	972
I	72796	72796	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	1010
I	76364	76429	66	+	16	663	0.37	66	-0.12	-1	0.25	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	0
I	76789	76789	1	+	1	5	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	362
I	77092	77092	1	+	1	4	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	665
I	77167	77167	1	+	1	9	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	740
I	77249	77249	1	+	1	4	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	822
I	79695	79695	1	+	1	8	1	1	0	2	1	Promoter	1	79718	80587	870	1	YAL034W-A	YAL034W-A_mRNA	-23
I	82688	82711	24	+	4	31	0.32	24	0.98	0.05	0.02	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	0
I	87237	87264	28	+	5	32	0.41	28	6.34	-0.15	0.07	Promoter	1	87286	87752	467	1	YAL030W	YAL030W_mRNA	-22
I	92849	92859	11	+	3	30	0.43	11	-0.27	0.57	0.1	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-41
I	92889	92889	1	+	1	6	1	1	0	2	1	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-11
I	94595	94655	61	+	5	27	0.26	61	-1	-0.3	0.01	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-32
I	114803	114818	16	+	4	24	0.38	16	-0.75	0.07	0.03	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-101
I	119850	119891	42	+	8	64	0.23	42	-2.83	-0.91	0.03	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-334
I	119953	119963	11	+	3	15	0.33	11	0.67	0.42	0	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-262
I	124783	124803	21	+	6	49	0.29	21	3.18	-0.41	0.07	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-76
I	129208	129265	58	+	30	905	0.16	58	-1.12	-2.24	0.14	Promoter	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	-5
I	130686	130758	73	+	11	176	0.33	73	8.85	-0.69	0.22	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-41
I	135829	135829	1	+	1	15	1	1	0	2	1	Promoter	1	135854	136633	780	1	YAL009W	YAL009W_mRNA	-25
I	136868	136882	15	+	2	10	0.5	15	0	1	0	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-32
I	142117	142195	79	+	19	473	0.24	79	-9.6	-1.7	0.13	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	142230	142246	17	+	5	25	0.24	17	-1.04	-0.3	0.01	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	56
I	142648	142648	1	+	1	7	1	1	0	2	1	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	281
I	142696	142713	18	+	6	35	0.23	18	1.59	-0.55	0.01	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	329
I	142750	142798	49	+	4	21	0.33	49	-3.29	0.04	0.02	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	383
I	142836	142858	23	+	2	10	0.6	23	2.2	1.03	0.03	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	469
I	142928	142936	9	+	2	8	0.5	9	0	1	0	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	561
I	143616	143616	1	+	1	10	1	1	0	2	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-91
I	152215	152228	14	+	2	51	0.73	14	-2.93	1.15	0.15	Promoter	1	152257	153876	1620	1	YAR002W	YAR002W_mRNA	-29
I	158847	158872	26	+	4	47	0.43	26	-6.22	0.2	0.1	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-94
I	158897	158897	1	+	1	10	1	1	0	2	1	Promoter	1	158966	159793	828	1	YAR008W	YAR008W_mRNA	-69
I	169263	169286	24	+	4	44	0.36	24	2.36	0.16	0.08	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-89
I	169315	169325	11	+	3	30	0.53	11	1.33	0.56	0.09	Promoter	1	169375	170295	921	1	YAR015W	YAR015W_mRNA	-50
I	188061	188061	1	+	1	4	1	1	0	2	1	Promoter	1	188107	188811	705	1	YAR033W	YAR033W_mRNA	-46
I	190149	190149	1	+	1	4	1	1	0	2	1	Promoter	1	190193	192256	2064	1	YAR035W	YAR035W_mRNA	-44
I	192583	192583	1	+	1	4	1	1	0	2	1	Promoter	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	-36
I	195811	195811	1	+	1	4	1	1	0	2	1	Exon (YAR042W_mRNA/YAR042W, exon 1 of 1)	1	192619	196185	3567	1	YAR042W	YAR042W_mRNA	3192
I	199098	199098	1	+	1	7	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4305
I	199134	199134	1	+	1	5	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4269
I	199207	199207	1	+	1	5	1	1	0	2	1	Distal Intergenic	1	203403	208016	4614	1	YAR050W	YAR050W_mRNA	-4196
I	6331	6331	1	-	1	5	1	1	0	2	1	Distal Intergenic	1	7235	9016	1782	2	YAL067C	YAL067C_mRNA	2685
I	32391	32391	1	-	1	4	1	1	0	2	1	Distal Intergenic	1	24000	27968	3969	2	YAL063C	YAL063C_mRNA	-4423
I	32501	32501	1	-	1	6	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4417
I	32549	32549	1	-	1	6	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4369
I	32604	32604	1	-	1	4	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4314
I	32684	32757	74	-	6	45	0.31	74	-7.08	-0.45	0.05	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	4234
I	32968	32968	1	-	1	11	1	1	0	2	1	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	3950
I	34355	34362	8	-	3	21	0.52	8	-0.6	0.54	0.08	Distal Intergenic	1	36496	36918	423	2	YAL059C-A	YAL059C-A_mRNA	2563
I	52651	52661	11	-	2	14	0.57	11	0.71	1.01	0.01	Promoter	1	51855	52595	741	2	YAL049C	YAL049C_mRNA	-66
I	57391	57391	1	-	1	6	1	1	0	2	1	Promoter	1	57029	57385	357	2	YAL046C	YAL046C_mRNA	-6
I	58469	58471	3	-	2	18	0.61	3	0.22	1.04	0.04	Promoter	1	57950	58462	513	2	YAL044C	YAL044C_mRNA	-9
I	67833	67848	16	-	4	67	0.39	16	1.1	0.22	0.11	Promoter	1	65778	67520	1743	2	YAL040C	YAL040C_mRNA	-328
I	69553	69605	53	-	9	67	0.19	53	4.06	-1.06	0.04	Promoter	1	68716	69525	810	2	YAL039C	YAL039C_mRNA	-80
I	76178	76199	22	-	4	22	0.32	22	-2.55	0.03	0.02	Promoter	1	75043	76152	1110	2	YAL036C	YAL036C_mRNA	-47
I	81978	81997	20	-	3	19	0.37	20	-1.45	0.43	0.01	Promoter	1	80710	81951	1242	2	YAL034C	YAL034C_mRNA	-46
I	84494	84509	16	-	4	20	0.35	16	1.2	0.04	0.02	Promoter	1	83335	84474	1140	2	YAL032C	YAL032C_mRNA	-35
I	87078	87078	1	-	1	11	1	1	0	2	1	Promoter	1	84749	87031	2283	2	YAL031C	YAL031C_mRNA	-47
I	92473	92473	1	-	1	5	1	1	0	2	1	Promoter	1	87855	92270	4416	2	YAL029C	YAL029C_mRNA	-203
I	99783	99783	1	-	1	15	1	1	0	2	1	Promoter	1	95630	99697	4068	2	YAL026C	YAL026C_mRNA	-86
I	100912	100912	1	-	1	4	1	1	0	2	1	Exon (YAL025C_mRNA/YAL025C, exon 1 of 1)	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	233
I	101151	101196	46	-	14	357	0.19	46	-3.48	-1.4	0.11	Promoter	1	100225	101145	921	2	YAL025C	YAL025C_mRNA	-51
I	108623	108639	17	-	2	12	0.5	17	0	1	0	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-88
I	108666	108666	1	-	1	7	1	1	0	2	1	Promoter	1	106272	108551	2280	2	YAL023C	YAL023C_mRNA	-115
I	110446	110446	1	-	1	5	1	1	0	2	1	Promoter	1	108877	110430	1554	2	YAL022C	YAL022C_mRNA	-16
I	113389	113420	32	-	7	43	0.26	32	3.5	-0.67	0.05	Promoter	1	110846	113359	2514	2	YAL021C	YAL021C_mRNA	-61
I	114571	114571	1	-	1	4	1	1	0	2	1	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	44
I	114604	114627	24	-	4	21	0.33	24	2.74	0.04	0.02	Promoter	1	113614	114615	1002	2	YAL020C	YAL020C_mRNA	0
I	129050	129067	18	-	2	10	0.6	18	-1.7	1.03	0.03	Promoter	1	128252	129019	768	2	YAL014C	YAL014C_mRNA	-48
I	135686	135702	17	-	2	14	0.64	17	-2.29	1.06	0.06	Promoter	1	134184	135665	1482	2	YAL010C	YAL010C_mRNA	-37
I	138394	138423	30	-	5	54	0.41	30	8.87	-0.08	0.11	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-78
I	138453	138453	1	-	1	4	1	1	0	2	1	Promoter	1	137698	138345	648	2	YAL007C	YAL007C_mRNA	-108
I	140883	140883	1	-	1	4	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	548
I	140977	140977	1	-	1	6	1	1	0	2	1	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	454
I	141114	141116	3	-	2	11	0.64	3	-0.27	1.05	0.05	Exon (YAL005C_mRNA/YAL005C, exon 1 of 1)	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	317
I	141416	141522	107	-	17	410	0.41	107	18.88	-1.01	0.26	Promoter	1	139503	141431	1929	2	YAL005C	YAL005C_mRNA	0
I	151189	151203	15	-	2	20	0.6	15	1.4	1.03	0.03	Promoter	1	147594	151166	3573	2	YAL001C	YAL001C_mRNA	-37
I	154731	154767	37	-	6	51	0.24	37	-1.9	-0.53	0.02	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-43
I	154796	154798	3	-	2	10	0.6	3	-0.2	1.03	0.03	Promoter	1	154065	154724	660	2	YAR002C-A	YAR002C-A_mRNA	-74
I	165919	165919	1	-	1	12	1	1	0	2	1	Promoter	1	164544	165866	1323	2	YAR010C	YAR010C	-53
I	168869	168869	1	-	1	5	1	1	0	2	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	2
I	168942	168942	1	-	1	6	1	1	0	2	1	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-71
I	169012	169045	34	-	5	88	0.66	34	-3.82	0.45	0.33	Promoter	1	166742	168871	2130	2	YAR014C	YAR014C_mRNA	-174
I	188637	188661	25	-	3	22	0.5	25	0.55	0.5	0.06	Downstream (2-3kb)	1	186512	186853	342	2	YAR030C	YAR030C_mRNA	-1808
I	198999	199014	16	-	2	12	0.67	16	-2.5	1.08	0.08	Distal Intergenic	1	201467	201787	321	2	YAR047C	YAR047C_mRNA	2788
II	9332	9332	1	+	1	12	1	1	0	2	1	Promoter	2	9268	9372	105	1	YBL107W-A	YBL107W-A_mRNA	64
II	23992	24041	50	+	5	26	0.23	50	-4.96	-0.3	0.01	Promoter	2	24098	24745	648	1	YBL102W	YBL102W_mRNA	-57
II	29884	29884	1	+	1	24	1	1	0	2	1	Promoter	2	29935	31251	1317	1	YBL100W-A	YBL100W-A	-51
II	31885	31896	12	+	2	9	0.56	12	0.61	1.01	0.01	Exon (YBL100W-B/YBL100W-B, exon 1 of 1)	2	29935	35248	5314	1	YBL100W-B	YBL100W-B	1950
II	36733	36757	25	+	5	80	0.5	25	6.55	0.1	0.18	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-296
II	39125	39125	1	+	1	5	1	1	0	2	1	Promoter	2	39145	40527	1383	1	YBL098W	YBL098W_mRNA	-20
II	40768	40789	22	+	2	19	0.74	22	-4.97	1.17	0.17	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-42
II	43267	43267	1	+	1	5	1	1	0	2	1	Promoter	2	43277	44089	813	1	YBL095W	YBL095W_mRNA	-10
II	45295	45305	11	+	2	9	0.56	11	0.56	1.01	0.01	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-673
II	45364	45364	1	+	1	5	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-614
II	45517	45680	164	+	28	466	0.2	164	14.38	-2.02	0.16	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	-298
II	45978	45978	1	+	1	24	1	1	0	2	1	Promoter	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	0
II	46575	46583	9	+	2	13	0.62	9	0.92	1.04	0.04	Downstream (2-3kb)	2	45978	46370	393	1	YBL092W	YBL092W_mRNA	597
II	48794	48818	25	+	3	24	0.54	25	-1.5	0.55	0.08	Promoter	2	48825	49358	534	1	YBL090W	YBL090W_mRNA	-7
II	49540	49540	1	+	1	5	1	1	0	2	1	Promoter	2	49574	50953	1380	1	YBL089W	YBL089W_mRNA	-34
II	63685	63694	10	+	2	21	0.67	10	1.5	1.08	0.08	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-182
II	63736	63763	28	+	5	76	0.5	28	-8.99	0.04	0.16	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-113
II	63846	63846	1	+	1	4	1	1	0	2	1	Promoter	2	63876	66818	2943	1	YBL085W	YBL085W_mRNA	-30
II	71552	71566	15	+	3	54	0.46	15	-3.56	0.52	0.07	Promoter	2	71866	72972	1107	1	YBL081W	YBL081W_mRNA	-300
II	75153	75153	1	+	1	4	1	1	0	2	1	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-106
II	75186	75210	25	+	4	22	0.32	25	-0.82	0.03	0.02	Promoter	2	75259	79767	4509	1	YBL079W	YBL079W_mRNA	-49
II	89930	89943	14	+	5	58	0.5	14	2.33	0.08	0.17	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-35
II	89968	89968	1	+	1	6	1	1	0	2	1	Promoter	2	89978	90226	249	1	YBL071W-A	YBL071W-A_mRNA	-10
II	90685	90709	25	+	2	27	0.85	25	-8.44	1.39	0.39	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-32
II	92345	92372	28	+	4	21	0.43	28	-1.88	0.11	0.05	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-42
II	101869	101869	1	+	1	5	1	1	0	2	1	Promoter	2	101886	105221	3336	1	YBL063W	YBL063W_mRNA	-17
II	107897	107906	10	+	2	11	0.55	10	0.41	1.01	0.01	Promoter	2	107932	109995	2064	1	YBL060W	YBL060W_mRNA	-26
II	110672	110700	29	+	4	24	0.42	29	5.42	0.11	0.06	Promoter	2	110594	111244	651	1	YBL059W	YBL059W_mRNA	78
II	111396	111409	14	+	4	40	0.42	14	2.25	0.11	0.05	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	-28
II	111452	111452	1	+	1	6	1	1	0	2	1	Promoter	2	111437	112708	1272	1	YBL058W	YBL058W_mRNA	15
II	113651	113651	1	+	1	5	1	1	0	2	1	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-111
II	113716	113720	5	+	2	13	0.54	5	-0.15	1	0	Promoter	2	113762	115168	1407	1	YBL056W	YBL056W_mRNA	-42
II	117466	117491	26	+	5	28	0.32	26	0.25	-0.23	0.04	Promoter	2	117589	119166	1578	1	YBL054W	YBL054W_mRNA	-98
II	125038	125094	57	+	10	121	0.28	57	-14.12	-0.98	0.1	Promoter	2	125125	126119	995	1	YBL050W	YBL050W_mRNA	-31
II	132411	132426	16	+	2	22	0.68	16	-2.73	1.1	0.1	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	0
II	132466	132466	1	+	1	4	1	1	0	2	1	Promoter	2	132424	133749	1326	1	YBL046W	YBL046W_mRNA	42
II	136553	136555	3	+	2	9	0.56	3	0.11	1.01	0.01	Promoter	2	136688	137461	774	1	YBL043W	YBL043W_mRNA	-133
II	141191	141247	57	+	7	124	0.23	57	-4.94	-0.71	0.04	Promoter	2	141247	141972	726	1	YBL041W	YBL041W_mRNA	0
II	143082	143091	10	+	2	18	0.72	10	2	1.15	0.15	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-302
II	143188	143188	1	+	1	6	1	1	0	2	1	Promoter	2	143393	143572	180	1	YBL039W-B	YBL039W-B_mRNA	-205
II	146113	146136	24	+	5	31	0.35	24	4.37	-0.2	0.05	Promoter	2	146187	146885	699	1	YBL038W	YBL038W_mRNA	-51
II	147097	147162	66	+	7	71	0.34	66	-10.36	-0.57	0.08	Promoter	2	147209	150286	3078	1	YBL037W	YBL037W_mRNA	-47
II	160074	160147	74	+	9	126	0.25	74	2.04	-0.86	0.1	Promoter	2	160184	161329	1146	1	YBL032W	YBL032W_mRNA	-37
II	161669	161695	27	+	3	16	0.38	27	-1.88	0.42	0	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	-4
II	161724	161724	1	+	1	4	1	1	0	2	1	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	25
II	168384	168415	32	+	9	537	0.4	32	1.46	-0.14	0.33	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-8
II	168809	168809	1	+	1	7	1	1	0	2	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	386
II	169076	169076	1	+	1	4	1	1	0	2	1	Exon (YBL027W_mRNA/YBL027W, exon 2 of 2)	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	653
II	170552	170552	1	+	1	6	1	1	0	2	1	Promoter	2	170623	171038	416	1	YBL026W	YBL026W_mRNA	-71
II	171625	171625	1	+	1	4	1	1	0	2	1	Exon (YBL025W_mRNA/YBL025W, exon 1 of 1)	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	144
II	172472	172472	1	+	1	5	1	1	0	2	1	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-62
II	172506	172530	25	+	7	55	0.29	25	-2.38	-0.61	0.07	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-4
II	173329	173329	1	+	1	4	1	1	0	2	1	Exon (YBL024W_mRNA/YBL024W, exon 1 of 1)	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	795
II	182319	182357	39	+	4	36	0.36	39	-7.86	0.11	0.06	Promoter	2	182401	184125	1725	1	YBL020W	YBL020W_mRNA	-44
II	184293	184297	5	+	2	9	0.56	5	0.22	1.01	0.01	Promoter	2	184353	185915	1563	1	YBL019W	YBL019W_mRNA	-56
II	192363	192372	10	+	3	17	0.47	10	-0.62	0.48	0.04	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-79
II	192415	192429	15	+	3	22	0.45	15	-0.18	0.47	0.04	Promoter	2	192451	193512	1062	1	YBL016W	YBL016W_mRNA	-22
II	194019	194033	15	+	2	12	0.5	15	0	1	0	Promoter	2	194122	195702	1581	1	YBL015W	YBL015W_mRNA	-89
II	201990	201990	1	+	1	5	1	1	0	2	1	Promoter	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	-66
II	202602	202602	1	+	1	5	1	1	0	2	1	Exon (YBL013W_mRNA/YBL013W, exon 1 of 1)	2	202056	203261	1206	1	YBL013W	YBL013W_mRNA	546
II	203356	203356	1	+	1	4	1	1	0	2	1	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-182
II	203437	203471	35	+	5	49	0.24	35	4.41	-0.26	0.03	Promoter	2	203538	205817	2280	1	YBL011W	YBL011W_mRNA	-67
II	209573	209598	26	+	4	38	0.42	26	-6.03	0.11	0.05	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	-55
II	209748	209748	1	+	1	10	1	1	0	2	1	Promoter	2	209653	212175	2523	1	YBL008W	YBL008W_mRNA	95
II	217408	217430	23	+	3	17	0.41	23	-0.88	0.45	0.02	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	-40
II	217543	217543	1	+	1	7	1	1	0	2	1	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	73
II	221459	221459	1	+	1	4	1	1	0	2	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	129
II	221549	221549	1	+	1	4	1	1	0	2	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	219
II	222098	222098	1	+	1	5	1	1	0	2	1	Exon (YBL005W-B/YBL005W-B, exon 1 of 1)	2	221330	226598	5269	1	YBL005W-B	YBL005W-B	768
II	227511	227536	26	+	7	60	0.18	26	0.22	-0.76	0.02	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-100
II	227580	227580	1	+	1	6	1	1	0	2	1	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-56
II	236368	236386	19	+	2	26	0.81	19	-5.54	1.29	0.29	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	-106
II	236425	236472	48	+	8	121	0.33	48	12.69	-0.52	0.16	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	-20
II	236501	236518	18	+	2	9	0.56	18	-0.94	1.01	0.01	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	9
II	236743	236744	2	+	2	11	0.55	2	-0.05	1.01	0.01	Exon (YBL002W_mRNA/YBL002W, exon 1 of 1)	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	251
